Structure type,,count,mean,std,min,5%,50%,95%,max,skewness,kurtosis
DIL ref,Volume,20.0,1574.1,1117.1092346343141,450.0,475.65,1270.0,3190.6500000000015,5445.0,2.2102350461948235,5.348421383180337
DIL ref,Surface area,20.0,858.7212955000001,392.7859825592742,333.1396,385.3330275,764.7574,1525.4386700000005,1980.4178,1.2105330482352243,1.6002051217538549
DIL ref,Surface area to volume ratio,20.0,0.6061101945,0.11229775393918955,0.3637131,0.44428203,0.6152644,0.7149452870000002,0.90194684,0.2742970952278662,1.2856383141780263
DIL ref,Sphericity,20.0,0.7442067895000001,0.07204000802836168,0.62678385,0.6567628575,0.73915005,0.88177114,0.8862103,0.478508829151958,-0.5133574520442137
DIL ref,Compactness 1,20.0,0.03417257680000001,0.004998585183030364,0.026325436,0.02823772805,0.033713032000000004,0.043927139700000006,0.044259254,0.5655692555181517,-0.43744403559376277
DIL ref,Compactness 2,20.0,0.42334736449999993,0.12664441586070876,0.24623704,0.283378297,0.40382956000000003,0.685597785,0.6960019,0.8175988126500469,-0.138510127842133
DIL ref,Spherical disproportion,20.0,1.3553811750000002,0.12759320117387413,1.1284003,1.13408263,1.3529056,1.522794195,1.5954463,-0.12015175719017901,-0.6711202680035093
DIL ref,Maximum 3D diameter,20.0,22.972131400000002,6.855015318734463,13.132514,13.36953235,21.979726,32.80471945000001,43.300613,1.2855810805418002,2.1281913058584454
DIL ref,PCA major,20.0,21.754884825,6.839844061010405,11.8299885,12.183228425,20.7324825,31.69813240000001,41.96099,1.2678039226822466,2.077281413124143
DIL ref,PCA minor,20.0,15.280417775,3.4792134721282326,9.274487,10.508279075,15.615085,20.77818075,21.31086,0.08582564135384475,-0.9899397576689002
DIL ref,PCA least,20.0,10.978751354999998,2.669625830076325,5.8314133,7.167008515,11.14511,14.867949050000002,16.207184,-0.008378469464318975,-0.6132317277456529
DIL ref,Major axis (equivalent ellipse),20.0,18.457274749999996,2.792314279129841,13.7579,13.961714899999999,18.2128315,22.506893350000002,25.910921,0.7502458020181395,1.0524979912772316
DIL ref,Minor axis (equivalent ellipse),20.0,15.537628950000002,1.7972976474591682,12.181617,12.9653442,15.806098500000001,18.233157249999998,18.465475,-0.08764961888324739,-0.96118529697485
DIL ref,Least axis (equivalent ellipse),20.0,13.156225699999998,1.6459658442189833,9.6593275,10.705815675,13.353443500000001,15.42280245,16.103258,-0.2694097866780877,-0.5079205698328688
DIL ref,Elongation,20.0,0.8488043745,0.07792721444144315,0.6487865,0.6995502725,0.8497207499999999,0.9696487100000001,0.9706711,-0.790284205691369,0.8665914548738121
DIL ref,Flatness,20.0,0.7185172725,0.0772370601761116,0.6213699,0.6214795775,0.71053386,0.8523242345,0.91184866,0.8189149111292121,0.25330304273784243
DIL ref,L/R dimension at centroid,20.0,13.1,5.973185696797066,6.6,8.12,12.1,19.89000000000001,34.9,2.504050239208271,7.053431010674148
DIL ref,A/P dimension at centroid,20.0,9.945,2.722706664139082,5.6,6.36,9.7,14.145,15.0,0.3111402010618052,-0.9291864673837562
DIL ref,S/I dimension at centroid,20.0,13.699999999999998,4.498303773880246,5.1,7.95,13.6,20.335000000000004,24.8,0.4627924939011521,0.3396362213047488
DIL ref,S/I arclength,20.0,26.457636335000007,10.59038397987219,7.0211387,11.945673935,26.1355735,46.03333715,46.939697,0.33426033289149015,-0.42321929191731034
OAR ref,Volume,11.0,47294.454545454544,10154.847358415944,30380.0,34215.0,46640.0,60124.5,61859.0,-0.09534824354147904,-1.2535427816369664
