,count,mean,std,min,5%,50%,95%,max,skewness,kurtosis
Length (mm),39.0,15.97501653846154,6.05090473392,9.068077,11.478240999999999,15.039046,21.962224600000006,48.519123,4.142300126696848,19.821073335002446
Volume (mm3),39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Voxel side length (mm),39.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,
BX to DIL centroid (X),39.0,0.6252977951025641,3.59795253857614,-6.922154,-5.06549739,0.50526655,6.390369540000004,10.725009,0.5151742350130195,0.7338220961582311
BX to DIL centroid (Y),39.0,-2.167915905128205,3.7936931350358822,-9.992468,-8.7657998,-2.3923275,4.296632550000002,5.2698555,0.009771128396081843,-0.3963250904725144
BX to DIL centroid (Z),39.0,1.1666666666666667,5.204164998665332,-8.5,-7.05,0.0,10.0,11.5,0.08083486847277031,-0.9485809503515874
BX to DIL centroid distance,39.0,7.104569146153847,3.0396166783962695,1.5160484,2.49184652,6.7861366,12.2991913,14.737446,0.351528542743175,-0.23521361746454517
NN surface-surface distance,39.0,0.4960928633589744,1.3207919435282414,0.011959713,0.0276199073,0.048784975,2.3951025,7.52512,4.213691358235651,18.996839775925064
